"","V1"
"HLA-B_81_01_training_data_PWM.csv",1e+05
"HLA-B_83_01_training_data_PWM.csv",1e+05
"HLA-C_01_02_training_data_PWM.csv",1e+05
"HLA-C_03_03_training_data_PWM.csv",2.22376684598647
"HLA-C_03_04_training_data_PWM.csv",6.30257713425139
"HLA-C_04_01_training_data_PWM.csv",4.77450772695101
"HLA-C_05_01_training_data_PWM.csv",2.13225372445361
"HLA-C_06_02_training_data_PWM.csv",2.32411501520986
"HLA-C_07_01_training_data_PWM.csv",4.89578162333355
"HLA-C_07_02_training_data_PWM.csv",2.06612403561671
"HLA-C_08_01_training_data_PWM.csv",1e+05
"HLA-C_08_02_training_data_PWM.csv",2.87105134130499
"HLA-C_12_02_training_data_PWM.csv",1e+05
"HLA-C_12_03_training_data_PWM.csv",2.50524823750049
"HLA-C_14_02_training_data_PWM.csv",2.79449764989987
"HLA-C_15_02_training_data_PWM.csv",3.25821076072388
